	Mean	executer	agar	timepoint	plate	serial_num	spot	normalized	genotype	Plate
12000	118.304	human	YPD	21	1	1	1	1.5365353144400862	0_WT	Plate_1
12001	114.224	human	YPD	21	1	1	2	1.4939443877684482	0_WT	Plate_1
12002	106.163	human	YPD	21	1	1	3	1.391571634552366	0_WT	Plate_1
12003	87.077	human	YPD	21	1	1	4	1.1425028865330116	0_WT	Plate_1
12004	81.18	human	YPD	21	1	1	5	1.064585928791555	0_WT	Plate_1
12005	117.996	human	YPD	21	1	2	1	1.5401362675229069	0_WT	Plate_1
12006	113.306	human	YPD	21	1	2	2	1.4845590451109103	0_WT	Plate_1
12007	103.199	human	YPD	21	1	2	3	1.3521881551362684	0_WT	Plate_1
12008	86.13	human	YPD	21	1	2	4	1.1282420749279538	0_WT	Plate_1
12009	80.668	human	YPD	21	1	2	5	1.0555737297339736	0_WT	Plate_1
12010	117.974	human	YPD	21	1	3	1	1.539889312379262	0_WT	Plate_1
12011	113.736	human	YPD	21	1	3	2	1.4929902861643476	0_WT	Plate_1
12012	107.694	human	YPD	21	1	3	3	1.4117508258612552	0_WT	Plate_1
12013	90.623	human	YPD	21	1	3	4	1.185575237447343	0_WT	Plate_1
12014	78.838	human	YPD	21	1	3	5	1.0278078352128284	0_WT	Plate_1
12015	115.441	human	YPD	21	1	4	1	1.5025315302416993	1_MT	Plate_1
12016	107.861	human	YPD	21	1	4	2	1.4036542040263915	1_MT	Plate_1
12017	101.649	human	YPD	21	1	4	3	1.3273743454471854	1_MT	Plate_1
12018	85.486	human	YPD	21	1	4	4	1.1150590230222397	1_MT	Plate_1
12019	80.95	human	YPD	21	1	4	5	1.0544758232596916	1_MT	Plate_1
12020	113.574	human	YPD	21	1	5	1	1.469110570704196	1_MT	Plate_1
12021	110.928	human	YPD	21	1	5	2	1.451405244151358	1_MT	Plate_1
12022	102.354	human	YPD	21	1	5	3	1.3397471137987906	1_MT	Plate_1
12023	85.925	human	YPD	21	1	5	4	1.1225716264060723	1_MT	Plate_1
12024	79.68	human	YPD	21	1	5	5	1.0431777120263936	1_MT	Plate_1
12025	114.656	human	YPD	21	1	6	1	1.4089657884388518	1_MT	Plate_1
12026	111.458	human	YPD	21	1	6	2	1.450690476500371	1_MT	Plate_1
12027	101.634	human	YPD	21	1	6	3	1.3240834831548505	1_MT	Plate_1
12028	88.515	human	YPD	21	1	6	4	1.1492021863599184	1_MT	Plate_1
12029	82.686	human	YPD	21	1	6	5	1.0219755771987935	1_MT	Plate_1
12030	118.267	human	YPD	21	2	1	1	1.5387728017903144	0_WT	Plate_2
12031	114.39	human	YPD	21	2	1	2	1.5027390601805022	0_WT	Plate_2
12032	106.53	human	YPD	21	2	1	3	1.3974813065722156	0_WT	Plate_2
12033	89.451	human	YPD	21	2	1	4	1.177482624262847	0_WT	Plate_2
12034	77.777	human	YPD	21	2	1	5	1.0143326638670809	0_WT	Plate_2
12035	116.757	human	YPD	21	2	2	1	1.5291937342833193	0_WT	Plate_2
12036	113.208	human	YPD	21	2	2	2	1.4898730012502468	0_WT	Plate_2
12037	104.927	human	YPD	21	2	2	3	1.3797288590251022	0_WT	Plate_2
12038	87.234	human	YPD	21	2	2	4	1.1442475438435404	0_WT	Plate_2
12039	81.709	human	YPD	21	2	2	5	1.0712562603246192	0_WT	Plate_2
12040	118.794	human	YPD	21	2	3	1	1.5587718147224774	0_WT	Plate_2
12041	114.208	human	YPD	21	2	3	2	1.5055696903384	0_WT	Plate_2
12042	107.122	human	YPD	21	2	3	3	1.4117104413489543	0_WT	Plate_2
12043	93.395	human	YPD	21	2	3	4	1.2291241692439296	0_WT	Plate_2
12044	82.497	human	YPD	21	2	3	5	1.0838610505294688	0_WT	Plate_2
12045	116.624	human	YPD	21	2	4	1	1.5341024190684152	1_MT	Plate_2
12046	112.465	human	YPD	21	2	4	2	1.487219158699303	1_MT	Plate_2
12047	101.559	human	YPD	21	2	4	3	1.3406243812289618	1_MT	Plate_2
12048	83.567	human	YPD	21	2	4	4	1.102656128359745	1_MT	Plate_2
12049	79.532	human	YPD	21	2	4	5	1.047341875502061	1_MT	Plate_2
12050	116.58	human	YPD	21	2	5	1	1.531006224883776	1_MT	Plate_2
12051	113.198	human	YPD	21	2	5	2	1.4987951169133809	1_MT	Plate_2
12052	104.032	human	YPD	21	2	5	3	1.377578855372229	1_MT	Plate_2
12053	86.273	human	YPD	21	2	5	4	1.1386469221835074	1_MT	Plate_2
12054	80.368	human	YPD	21	2	5	5	1.0585461586080631	1_MT	Plate_2
12055	116.222	human	YPD	21	2	6	1	1.4755163964604467	1_MT	Plate_2
12056	111.737	human	YPD	21	2	6	2	1.4639824956763272	1_MT	Plate_2
12057	103.338	human	YPD	21	2	6	3	1.355696949819613	1_MT	Plate_2
12058	90.391	human	YPD	21	2	6	4	1.1799929506677285	1_MT	Plate_2
12059	78.855	human	YPD	21	2	6	5	0.9999112373513228	1_MT	Plate_2
19920	114.213	human	YPD-TM	63	1	1	1	1.4368764703662231	0_WT	Plate_1
19921	111.14	human	YPD-TM	63	1	1	2	1.3965118616807397	0_WT	Plate_1
19922	100.269	human	YPD-TM	63	1	1	3	1.2561102411525211	0_WT	Plate_1
19923	82.841	human	YPD-TM	63	1	1	4	1.0351631324428006	0_WT	Plate_1
19924	83.402	human	YPD-TM	63	1	1	5	1.0475400982202292	0_WT	Plate_1
19925	116.062	human	YPD-TM	63	1	2	1	1.4744772213329267	0_WT	Plate_1
19926	110.337	human	YPD-TM	63	1	2	2	1.3892848149080836	0_WT	Plate_1
19927	93.321	human	YPD-TM	63	1	2	3	1.1729048313307526	0_WT	Plate_1
19928	87.421	human	YPD-TM	63	1	2	4	1.095350265001065	0_WT	Plate_1
