	timepoint	executer	genotype	agar	Plate	spot	cv_normalized
1600	21	human	0_WT	YPD	Plate_1	1	0.001067284743525712
1601	21	human	0_WT	YPD	Plate_1	2	0.0028295474916202566
1602	21	human	0_WT	YPD	Plate_1	3	0.017856343121076024
1603	21	human	0_WT	YPD	Plate_1	4	0.0211537760805911
1604	21	human	0_WT	YPD	Plate_1	5	0.014916043857128875
1605	21	human	0_WT	YPD	Plate_2	1	0.007989928468088082
1606	21	human	0_WT	YPD	Plate_2	2	0.004555683177593953
1607	21	human	0_WT	YPD	Plate_2	3	0.009369580841640841
1608	21	human	0_WT	YPD	Plate_2	4	0.029503839296595752
1609	21	human	0_WT	YPD	Plate_2	5	0.028628922125677872
1620	21	human	1_MT	YPD	Plate_1	1	0.026512699008620924
1621	21	human	1_MT	YPD	Plate_1	2	0.01556766400167549
1622	21	human	1_MT	YPD	Plate_1	3	0.005068716565645648
1623	21	human	1_MT	YPD	Plate_1	4	0.012975983240110189
1624	21	human	1_MT	YPD	Plate_1	5	0.012955349638715839
1625	21	human	1_MT	YPD	Plate_2	1	0.01778453208665739
1626	21	human	1_MT	YPD	Plate_2	2	0.009758778918969308
1627	21	human	1_MT	YPD	Plate_2	3	0.011172389157619962
1628	21	human	1_MT	YPD	Plate_2	4	0.027706910149105504
1629	21	human	1_MT	YPD	Plate_2	5	0.02454914197664814
4970	63	human	0_WT	YPD-TM	Plate_1	1	0.017622192206052052
4971	63	human	0_WT	YPD-TM	Plate_1	2	0.003000027036864053
4972	63	human	0_WT	YPD-TM	Plate_1	3	0.032903819773310264
4973	63	human	0_WT	YPD-TM	Plate_1	4	0.03347994083913269
4974	63	human	0_WT	YPD-TM	Plate_1	5	0.00870175914079851
4975	63	human	0_WT	YPD-TM	Plate_2	1	0.017223860867593
4976	63	human	0_WT	YPD-TM	Plate_2	2	0.013724283990969031
4977	63	human	0_WT	YPD-TM	Plate_2	3	0.01058454076604624
4978	63	human	0_WT	YPD-TM	Plate_2	4	0.03740431641662754
4979	63	human	0_WT	YPD-TM	Plate_2	5	0.013916383224896526
5630	71	human	1_MT	YPD-TM	Plate_1	1	0.007683895139536198
5631	71	human	1_MT	YPD-TM	Plate_1	2	0.004979454509296855
5632	71	human	1_MT	YPD-TM	Plate_1	3	0.00333571428597653
5633	71	human	1_MT	YPD-TM	Plate_1	4	0.005422252450365341
5634	71	human	1_MT	YPD-TM	Plate_1	5	0.008349833933366408
5635	71	human	1_MT	YPD-TM	Plate_2	1	0.0070317961967496755
5636	71	human	1_MT	YPD-TM	Plate_2	2	0.005546021790083507
5637	71	human	1_MT	YPD-TM	Plate_2	3	0.004470172157144883
5638	71	human	1_MT	YPD-TM	Plate_2	4	0.004716072125895413
5639	71	human	1_MT	YPD-TM	Plate_2	5	0.005991923578420346
1800	23	ot2	0_WT	YPD	Plate_1	1	0.006018268603390905
1801	23	ot2	0_WT	YPD	Plate_1	2	0.013064930848883844
1802	23	ot2	0_WT	YPD	Plate_1	3	0.014343697430870297
1803	23	ot2	0_WT	YPD	Plate_1	4	0.040018069007014774
1804	23	ot2	0_WT	YPD	Plate_1	5	0.026143159187172263
1805	23	ot2	0_WT	YPD	Plate_2	1	0.010392879846354655
1806	23	ot2	0_WT	YPD	Plate_2	2	0.01615898444163158
1807	23	ot2	0_WT	YPD	Plate_2	3	0.017602008759986958
1808	23	ot2	0_WT	YPD	Plate_2	4	0.042934859012840124
1809	23	ot2	0_WT	YPD	Plate_2	5	0.06360197159709269
2380	30	ot2	1_MT	YPD	Plate_1	1	0.013106008029782673
2381	30	ot2	1_MT	YPD	Plate_1	2	0.003654601451732791
2382	30	ot2	1_MT	YPD	Plate_1	3	0.005830024786981778
2383	30	ot2	1_MT	YPD	Plate_1	4	0.014770373493930974
2384	30	ot2	1_MT	YPD	Plate_1	5	0.018328134920715757
2385	30	ot2	1_MT	YPD	Plate_2	1	0.011194328197780714
2386	30	ot2	1_MT	YPD	Plate_2	2	0.0026690367466819355
2387	30	ot2	1_MT	YPD	Plate_2	3	0.003333583790190217
2388	30	ot2	1_MT	YPD	Plate_2	4	0.03182262203662522
2389	30	ot2	1_MT	YPD	Plate_2	5	0.023965062676813486
4850	61	ot2	0_WT	YPD-TM	Plate_1	1	0.023064261434480565
4851	61	ot2	0_WT	YPD-TM	Plate_1	2	0.008322115591697618
4852	61	ot2	0_WT	YPD-TM	Plate_1	3	0.009083666397350589
4853	61	ot2	0_WT	YPD-TM	Plate_1	4	0.042117648880235316
4854	61	ot2	0_WT	YPD-TM	Plate_1	5	0.021208027645831653
4855	61	ot2	0_WT	YPD-TM	Plate_2	1	0.022784472726886374
4856	61	ot2	0_WT	YPD-TM	Plate_2	2	0.006495588166270757
4857	61	ot2	0_WT	YPD-TM	Plate_2	3	0.020269775492917766
4858	61	ot2	0_WT	YPD-TM	Plate_2	4	0.014731464246815627
4859	61	ot2	0_WT	YPD-TM	Plate_2	5	0.006457052631862112
6950	87	ot2	1_MT	YPD-TM	Plate_1	1	0.014547189721937928
6951	87	ot2	1_MT	YPD-TM	Plate_1	2	0.013298704261315263
6952	87	ot2	1_MT	YPD-TM	Plate_1	3	0.010153086874984818
