,Mean,executer,agar,timepoint,plate,serial_num,spot,normalized
0,77.206,ot2,YPD,1,1,1,1,1.0
1,76.971,ot2,YPD,1,1,1,2,1.0
2,76.995,ot2,YPD,1,1,1,3,1.0
3,77.085,ot2,YPD,1,1,1,4,1.0
4,77.37,ot2,YPD,1,1,1,5,1.0
5,77.011,ot2,YPD,1,1,2,1,1.0
6,77.526,ot2,YPD,1,1,2,2,1.0
7,77.403,ot2,YPD,1,1,2,3,1.0
8,77.164,ot2,YPD,1,1,2,4,1.0
9,76.547,ot2,YPD,1,1,2,5,1.0
10,77.41,ot2,YPD,1,1,3,1,1.0
11,77.755,ot2,YPD,1,1,3,2,1.0
12,77.802,ot2,YPD,1,1,3,3,1.0
13,77.677,ot2,YPD,1,1,3,4,1.0
14,77.086,ot2,YPD,1,1,3,5,1.0
15,77.115,ot2,YPD,1,1,4,1,1.0
16,77.147,ot2,YPD,1,1,4,2,1.0
17,77.659,ot2,YPD,1,1,4,3,1.0
18,78.034,ot2,YPD,1,1,4,4,1.0
19,77.815,ot2,YPD,1,1,4,5,1.0
20,77.444,ot2,YPD,1,1,5,1,1.0
21,77.818,ot2,YPD,1,1,5,2,1.0
22,77.746,ot2,YPD,1,1,5,3,1.0
23,77.454,ot2,YPD,1,1,5,4,1.0
24,77.607,ot2,YPD,1,1,5,5,1.0
25,79.315,ot2,YPD,1,1,6,1,1.0
26,78.631,ot2,YPD,1,1,6,2,1.0
27,78.11,ot2,YPD,1,1,6,3,1.0
28,77.734,ot2,YPD,1,1,6,4,1.0
29,78.851,ot2,YPD,1,1,6,5,1.0
30,76.381,ot2,YPD,1,2,1,1,1.0
31,76.18,ot2,YPD,1,2,1,2,1.0
32,76.571,ot2,YPD,1,2,1,3,1.0
33,76.468,ot2,YPD,1,2,1,4,1.0
34,77.278,ot2,YPD,1,2,1,5,1.0
35,76.427,ot2,YPD,1,2,2,1,1.0
36,76.885,ot2,YPD,1,2,2,2,1.0
37,78.381,ot2,YPD,1,2,2,3,1.0
38,77.148,ot2,YPD,1,2,2,4,1.0
39,76.622,ot2,YPD,1,2,2,5,1.0
40,76.67,ot2,YPD,1,2,3,1,1.0
41,77.657,ot2,YPD,1,2,3,2,1.0
42,78.173,ot2,YPD,1,2,3,3,1.0
43,77.646,ot2,YPD,1,2,3,4,1.0
44,76.598,ot2,YPD,1,2,3,5,1.0
45,76.55,ot2,YPD,1,2,4,1,1.0
46,76.79,ot2,YPD,1,2,4,2,1.0
47,77.331,ot2,YPD,1,2,4,3,1.0
48,77.78,ot2,YPD,1,2,4,4,1.0
49,76.575,ot2,YPD,1,2,4,5,1.0
50,76.29,ot2,YPD,1,2,5,1,1.0
51,76.366,ot2,YPD,1,2,5,2,1.0
52,76.664,ot2,YPD,1,2,5,3,1.0
53,76.637,ot2,YPD,1,2,5,4,1.0
54,75.376,ot2,YPD,1,2,5,5,1.0
55,77.85,ot2,YPD,1,2,6,1,1.0
56,76.133,ot2,YPD,1,2,6,2,1.0
57,75.967,ot2,YPD,1,2,6,3,1.0
58,75.928,ot2,YPD,1,2,6,4,1.0
59,78.286,ot2,YPD,1,2,6,5,1.0
60,77.254,ot2,YPD,2,1,1,1,1.0006217133383415
61,77.016,ot2,YPD,2,1,1,2,1.000584635771914
62,77.073,ot2,YPD,2,1,1,3,1.001013052795636
63,77.164,ot2,YPD,2,1,1,4,1.0010248427061037
64,77.471,ot2,YPD,2,1,1,5,1.0013054155357373
65,77.072,ot2,YPD,2,1,2,1,1.0007920946358313
66,77.531,ot2,YPD,2,1,2,2,1.0000644944921704
67,77.489,ot2,YPD,2,1,2,3,1.001111068046458
68,77.269,ot2,YPD,2,1,2,4,1.0013607381680576
69,76.687,ot2,YPD,2,1,2,5,1.0018289416959516
70,77.434,ot2,YPD,2,1,3,1,1.0003100374628602
71,77.783,ot2,YPD,2,1,3,2,1.000360105459456
72,77.875,ot2,YPD,2,1,3,3,1.0009382792216135
73,77.794,ot2,YPD,2,1,3,4,1.0015062373675605
74,77.227,ot2,YPD,2,1,3,5,1.00182912591132
75,77.168,ot2,YPD,2,1,4,1,1.000687285223368
76,77.213,ot2,YPD,2,1,4,2,1.0008555096115208
77,77.743,ot2,YPD,2,1,4,3,1.0010816518368764
78,78.18,ot2,YPD,2,1,4,4,1.0018709793167082
79,78.029,ot2,YPD,2,1,4,5,1.0027501124461864
80,77.56,ot2,YPD,2,1,5,1,1.0014978565156758
81,77.889,ot2,YPD,2,1,5,2,1.0009123853093114
82,77.898,ot2,YPD,2,1,5,3,1.0019550845059553
83,77.695,ot2,YPD,2,1,5,4,1.0031115242595603
84,77.887,ot2,YPD,2,1,5,5,1.003607921965802
85,79.397,ot2,YPD,2,1,6,1,1.0010338523608395
86,78.771,ot2,YPD,2,1,6,2,1.0017804682631533
87,78.334,ot2,YPD,2,1,6,3,1.0028677506081167
88,77.982,ot2,YPD,2,1,6,4,1.00319036714951
89,79.063,ot2,YPD,2,1,6,5,1.002688615236332
90,76.485,ot2,YPD,2,2,1,1,1.0013615951611003
91,76.027,ot2,YPD,2,2,1,2,0.9979915988448412
92,76.373,ot2,YPD,2,2,1,3,0.9974141646315186
93,76.449,ot2,YPD,2,2,1,4,0.9997515300517864
94,77.593,ot2,YPD,2,2,1,5,1.0040761924480448
95,75.908,ot2,YPD,2,2,2,1,0.993209206170594
96,76.424,ot2,YPD,2,2,2,2,0.994004031995838
97,78.082,ot2,YPD,2,2,2,3,0.9961853000089308
98,76.812,ot2,YPD,2,2,2,4,0.995644734795458
99,76.424,ot2,YPD,2,2,2,5,0.997415885776931
100,76.073,ot2,YPD,2,2,3,1,0.9922133820268684
101,77.318,ot2,YPD,2,2,3,2,0.9956346498061992
102,77.828,ot2,YPD,2,2,3,3,0.9955867115244394
103,77.421,ot2,YPD,2,2,3,4,0.9971022332122712
104,76.266,ot2,YPD,2,2,3,5,0.9956656831771066
105,75.915,ot2,YPD,2,2,4,1,0.9917047681254084
106,76.553,ot2,YPD,2,2,4,2,0.9969136606328948
107,77.093,ot2,YPD,2,2,4,3,0.9969223209320972
108,77.66,ot2,YPD,2,2,4,4,0.998457186937516
109,76.326,ot2,YPD,2,2,4,5,0.9967482859941232
110,76.119,ot2,YPD,2,2,5,1,0.997758552890287
111,76.003,ot2,YPD,2,2,5,2,0.9952465757012284
112,76.405,ot2,YPD,2,2,5,3,0.9966216216216216
113,76.539,ot2,YPD,2,2,5,4,0.99872124430758
114,75.784,ot2,YPD,2,2,5,5,1.0054128635109318
