 ,Mean
1,76.994
2,76.458
3,76.290
4,76.216
5,76.255
6,76.614
7,76.323
8,76.320
9,76.340
10,76.421
11,76.612
12,76.180
13,76.284
14,76.438
15,76.705
16,76.831
17,76.843
18,76.579
19,76.665
20,76.768
21,77.308
22,76.428
23,76.398
24,76.543
25,76.382
26,81.376
27,76.831
28,76.758
29,77.023
30,80.908
31,76.858
32,76.121
33,76.230
34,75.968
35,76.678
36,76.352
37,75.985
38,76.049
39,76.237
40,76.274
41,76.210
42,75.857
43,75.881
44,75.985
45,76.114
46,76.021
47,75.621
48,75.755
49,75.787
50,75.937
51,76.146
52,75.526
53,75.518
54,75.768
55,75.923
56,78.767
57,76.324
58,76.225
59,76.603
60,78.862
61,76.793
62,76.244
63,76.042
64,75.939
65,75.907
66,76.308
67,75.942
68,75.909
69,75.928
70,76.012
71,76.287
72,75.787
73,75.838
74,75.947
75,76.195
76,76.393
77,76.294
78,76.144
79,76.195
80,76.265
81,76.912
82,76.011
83,76.001
84,76.145
85,75.889
86,80.798
87,76.491
88,76.433
89,76.635
90,80.463
91,76.499
92,75.793
93,75.911
94,75.704
95,76.414
96,75.966
97,75.590
98,75.651
99,75.980
100,76.035
101,75.878
102,75.420
103,75.418
104,75.571
105,75.752
106,75.770
107,75.323
108,75.382
109,75.403
110,75.541
111,75.927
112,75.219
113,75.191
114,75.395
115,75.556
116,78.546
117,76.085
118,75.940
119,76.207
120,78.486
121,76.879
122,76.281
123,76.083
124,75.943
125,75.885
126,76.343
127,75.908
128,75.890
129,75.918
130,75.962
131,76.238
132,75.677
133,75.727
134,75.884
135,76.115
136,76.357
137,76.192
138,76.051
139,76.101
140,76.214
141,76.903
142,75.985
143,75.938
144,76.080
145,75.838
146,80.708
147,76.449
148,76.378
149,76.559
150,80.374
151,76.529
152,75.808
153,75.932
154,75.711
155,76.419
156,76.009
157,75.604
158,75.677
159,75.999
160,76.053
161,75.925
162,75.402
163,75.396
164,75.558
165,75.725
166,75.769
167,75.249
168,75.298
169,75.345
170,75.454
171,75.938
172,75.193
173,75.143
174,75.342
175,75.520
176,78.549
177,76.042
178,75.898
179,76.171
180,78.467
181,77.027
182,76.337
183,76.091
184,75.954
185,75.836
186,76.453
187,75.913
188,75.883
189,75.882
190,75.933
191,76.311
192,75.623
193,75.659
194,75.808
195,76.080
196,76.375
197,76.135
198,75.964
199,76.051
200,76.147
201,76.939
202,75.950
203,75.885
204,76.036
205,75.773
206,80.701
207,76.387
208,76.333
209,76.502
210,80.325
211,76.605
212,75.817
213,75.918
214,75.686
215,76.405
216,76.087
217,75.635
218,75.673
219,75.980
220,76.052
221,76.038
222,75.400
223,75.369
224,75.526
225,75.728
226,75.815
227,75.207
228,75.212
229,75.267
230,75.396
231,76.012
232,75.177
233,75.090
234,75.309
235,75.485
236,78.589
237,76.018
238,75.848
239,76.134
240,78.422
241,77.369
242,76.500
243,76.194
244,76.032
245,75.905
246,76.747
247,76.043
248,75.967
249,75.984
250,76.000
251,76.614
252,75.703
253,75.701
254,75.873
255,76.128
256,76.565
257,76.177
258,76.018
259,76.076
260,76.182
261,77.119
262,76.019
263,75.942
264,76.071
265,75.826
266,80.789
267,76.466
268,76.376
269,76.517
270,80.322
271,76.898
272,75.910
273,75.991
274,75.743
275,76.437
276,76.360
277,75.730
278,75.753
279,76.050
280,76.108
281,76.389
282,75.517
283,75.421
284,75.578
285,75.774
286,76.028
287,75.236
288,75.245
289,75.290
290,75.432
291,76.258
292,75.242
293,75.137
294,75.327
295,75.521
296,78.758
297,76.083
298,75.888
299,76.163
300,78.454
301,77.824
302,76.645
303,76.267
304,76.077
305,75.906
306,77.174
307,76.149
308,76.024
309,76.002
310,75.997
311,77.101
312,75.791
313,75.730
314,75.879
315,76.114
316,76.815
317,76.218
318,76.011
319,76.054
320,76.174
321,77.407
322,76.084
323,75.949
324,76.057
325,75.778
326,80.927
327,76.514
328,76.351
329,76.491
330,80.283
331,77.343
332,76.032
333,76.014
334,75.739
335,76.407
336,76.736
337,75.852
338,75.789
339,76.075
340,76.106
341,76.927
342,75.641
343,75.473
344,75.598
345,75.778
346,76.399
347,75.327
348,75.252
349,75.290
350,75.407
351,76.623
352,75.330
353,75.163
354,75.324
355,75.526
356,79.028
357,76.139
358,75.890
359,76.132
360,78.427
361,78.612
362,76.878
363,76.354
364,76.118
365,75.905
366,77.908
367,76.351
368,76.105
369,76.041
370,76.031
371,77.946
372,75.999
373,75.767
374,75.896
375,76.136
376,77.292
377,76.294
378,76.031
379,76.067
380,76.168
381,77.912
382,76.196
383,75.975
384,76.060
385,75.781
386,81.188
387,76.610
388,76.372
389,76.484
390,80.269
391,78.107
392,76.217
393,76.063
394,75.736
395,76.407
396,77.385
397,76.047
398,75.835
399,76.104
400,76.136
401,77.865
402,75.887
403,75.529
404,75.615
405,75.795
406,76.999
407,75.447
408,75.259
409,75.294
410,75.420
411,77.243
412,75.477
413,75.205
414,75.333
415,75.521
416,79.482
417,76.238
418,75.909
419,76.132
420,78.432
421,79.935
422,77.218
423,76.454
424,76.165
425,75.920
426,79.121
427,76.683
428,76.186
429,76.075
430,76.045
431,79.353
432,76.352
433,75.840
434,75.920
435,76.135
436,78.132
437,76.433
438,76.067
439,76.073
440,76.173
441,78.760
442,76.416
443,76.027
444,76.054
445,75.769
446,81.657
447,76.808
448,76.411
449,76.500
450,80.251
451,79.431
452,76.542
453,76.132
454,75.758
455,76.398
456,78.467
457,76.369
458,75.919
459,76.119
460,76.119
461,79.376
462,76.288
463,75.603
464,75.652
465,75.817
466,78.004
467,75.675
468,75.287
469,75.300
470,75.430
471,78.296
472,75.720
473,75.262
474,75.354
475,75.535
476,80.232
477,76.418
478,75.967
479,76.130
480,78.415
481,82.092
482,77.840
483,76.605
484,76.228
485,75.954
486,81.139
487,77.254
488,76.328
489,76.139
490,76.066
491,81.675
492,76.978
493,76.014
494,75.974
495,76.158
496,79.540
497,76.707
498,76.184
