 ,Mean
1,77.206
2,76.971
3,76.995
4,77.085
5,77.370
6,77.011
7,77.526
8,77.403
9,77.164
10,76.547
11,77.410
12,77.755
13,77.802
14,77.677
15,77.086
16,77.115
17,77.147
18,77.659
19,78.034
20,77.815
21,77.444
22,77.818
23,77.746
24,77.454
25,77.607
26,79.315
27,78.631
28,78.110
29,77.734
30,78.851
31,76.381
32,76.180
33,76.571
34,76.468
35,77.278
36,76.427
37,76.885
38,78.381
39,77.148
40,76.622
41,76.670
42,77.657
43,78.173
44,77.646
45,76.598
46,76.550
47,76.790
48,77.331
49,77.780
50,76.575
51,76.290
52,76.366
53,76.664
54,76.637
55,75.376
56,77.850
57,76.133
58,75.967
59,75.928
60,78.286
61,77.254
62,77.016
63,77.073
64,77.164
65,77.471
66,77.072
67,77.531
68,77.489
69,77.269
70,76.687
71,77.434
72,77.783
73,77.875
74,77.794
75,77.227
76,77.168
77,77.213
78,77.743
79,78.180
80,78.029
81,77.560
82,77.889
83,77.898
84,77.695
85,77.887
86,79.397
87,78.771
88,78.334
89,77.982
90,79.063
91,76.485
92,76.027
93,76.373
94,76.449
95,77.593
96,75.908
97,76.424
98,78.082
99,76.812
100,76.424
101,76.073
102,77.318
103,77.828
104,77.421
105,76.266
106,75.915
107,76.553
108,77.093
109,77.660
110,76.326
111,76.119
112,76.003
113,76.405
114,76.539
115,75.784
116,78.028
117,76.458
118,76.356
119,76.430
120,78.758
121,77.294
122,76.973
123,77.015
124,77.108
125,77.382
126,77.098
127,77.488
128,77.434
129,77.223
130,76.611
131,77.448
132,77.734
133,77.819
134,77.755
135,77.151
136,77.171
137,77.178
138,77.699
139,78.121
140,77.962
141,77.560
142,77.871
143,77.857
144,77.651
145,77.825
146,79.355
147,78.738
148,78.294
149,77.923
150,78.991
151,76.542
152,75.974
153,76.283
154,76.354
155,77.499
156,75.914
157,76.329
158,77.813
159,76.650
160,76.335
161,76.055
162,76.835
163,77.485
164,76.954
165,76.157
166,75.885
167,76.088
168,76.715
169,77.348
170,76.264
171,76.108
172,75.947
173,76.361
174,76.471
175,75.704
176,77.992
177,76.411
178,76.305
179,76.362
180,78.680
181,77.486
182,77.019
183,77.017
184,77.080
185,77.366
186,77.258
187,77.518
188,77.432
189,77.223
190,76.616
191,77.608
192,77.745
193,77.815
194,77.756
195,77.156
196,77.271
197,77.215
198,77.693
199,78.122
200,77.973
201,77.650
202,77.897
203,77.865
204,77.663
205,77.831
206,79.409
207,78.753
208,78.304
209,77.914
210,78.955
211,76.777
212,76.017
213,76.305
214,76.363
215,77.474
216,76.092
217,76.377
218,77.826
219,76.675
220,76.323
221,76.238
222,76.891
223,77.427
224,76.971
225,76.143
226,76.006
227,76.107
228,76.722
229,77.371
230,76.257
231,76.209
232,75.953
233,76.366
234,76.488
235,75.695
236,78.071
237,76.408
238,76.290
239,76.364
240,78.654
241,77.878
242,77.132
243,77.061
244,77.099
245,77.356
246,77.555
247,77.611
248,77.490
249,77.245
250,76.644
251,77.908
252,77.825
253,77.868
254,77.787
255,77.185
256,77.487
257,77.266
258,77.732
259,78.168
260,78.004
261,77.842
262,77.967
263,77.905
264,77.687
265,77.853
266,79.530
267,78.797
268,78.324
269,77.914
270,78.953
271,77.241
272,76.136
273,76.352
274,76.379
275,77.488
276,76.437
277,76.484
278,77.876
279,76.704
280,76.349
281,76.606
282,77.012
283,77.495
284,77.012
285,76.198
286,76.248
287,76.201
288,76.761
289,77.410
290,76.309
291,76.451
292,76.047
293,76.423
294,76.540
295,75.740
296,78.256
297,76.482
298,76.334
299,76.395
300,78.687
301,78.517
302,77.275
303,77.099
304,77.094
305,77.339
306,78.049
307,77.726
308,77.527
309,77.278
310,76.653
311,78.409
312,77.925
313,77.894
314,77.803
315,77.212
316,77.821
317,77.353
318,77.762
319,78.191
320,78.050
321,78.159
322,78.066
323,77.937
324,77.714
325,77.878
326,79.757
327,78.867
328,78.339
329,77.942
330,78.984
331,78.033
332,76.358
333,76.451
334,76.440
335,77.550
336,77.050
337,76.667
338,77.986
339,76.780
340,76.426
341,77.237
342,77.210
343,77.591
344,77.096
345,76.264
346,76.664
347,76.356
348,76.867
349,77.507
350,76.396
351,76.845
352,76.194
353,76.524
354,76.631
355,75.831
356,78.583
357,76.625
358,76.427
359,76.477
360,78.763
361,79.783
362,77.671
363,77.234
364,77.163
365,77.380
366,79.032
367,78.033
368,77.648
369,77.341
370,76.708
371,79.373
372,78.193
373,78.004
374,77.878
375,77.266
376,78.494
377,77.553
378,77.837
379,78.254
380,78.063
381,78.776
382,78.276
383,78.018
384,77.770
385,77.908
386,80.233
387,79.021
388,78.402
389,77.989
390,78.987
391,79.353
392,76.697
393,76.528
394,76.452
395,77.547
396,78.036
397,76.928
398,78.065
399,76.770
400,76.416
401,78.274
402,77.508
403,77.656
404,77.089
405,76.250
406,77.324
407,76.532
408,76.909
409,77.500
410,76.380
411,77.480
412,76.337
413,76.546
414,76.617
415,75.808
416,79.083
417,76.740
418,76.432
419,76.454
420,78.712
421,81.752
422,78.227
423,77.338
424,77.153
425,77.339
426,80.542
427,78.469
428,77.726
429,77.329
430,76.690
431,80.856
432,78.536
433,78.065
434,77.851
435,77.241
436,79.521
437,77.794
438,77.850
439,78.226
440,78.057
441,79.729
442,78.537
443,78.058
444,77.736
445,77.877
446,80.991
447,79.198
448,78.412
449,77.935
450,78.944
451,81.438
452,77.245
453,76.645
454,76.466
455,77.508
456,79.661
457,77.339
458,78.140
459,76.778
460,76.382
461,79.937
462,77.988
463,77.720
464,77.100
465,76.202
466,78.448
467,76.798
468,76.932
469,77.496
470,76.349
471,78.557
472,76.588
473,76.597
474,76.636
475,75.773
476,79.977
477,76.958
478,76.467
479,76.459
480,78.666
481,84.978
482,79.380
483,77.705
484,77.257
485,77.379
486,83.108
487,79.389
488,78.014
489,77.438
490,76.744
491,83.371
492,79.287
493,78.310
494,77.955
495,77.289
496,81.360
497,78.375
498,78.003
499,78.325
500,78.123
501,81.461
502,79.151
503,78.260
504,77.833
505,77.925
506,82.483
507,79.641
508,78.569
509,78.022
510,78.990
511,84.755
512,78.367
513,76.987
514,76.578
515,77.598
516,82.385
517,78.222
518,78.460
519,76.866
520,76.450
521,82.712
522,79.003
523,78.011
524,77.185
525,76.276
526,80.409
527,77.418
528,77.122
529,77.566
530,76.415
531,80.474
532,77.147
533,76.775
534,76.709
535,75.844
536,81.635
537,77.472
538,76.637
539,76.526
540,78.715
541,89.844
542,81.348
543,78.298
544,77.373
545,77.397
546,87.175
547,80.958
548,78.448
549,77.514
550,76.767
551,87.304
552,80.586
553,78.687
554,78.025
555,77.297
556,84.232
557,79.350
558,78.168
559,78.373
560,78.130
561,84.255
562,80.182
563,78.507
564,77.862
565,77.904
566,84.967
567,80.420
568,78.758
569,78.057
570,78.973
571,89.721
572,80.296
573,77.522
574,76.712
575,77.673
576,86.588
577,79.751
578,78.922
579,76.937
580,76.478
581,86.926
582,80.719
583,78.408
584,77.259
585,76.286
586,83.469
587,78.451
588,77.371
589,77.613
590,76.409
591,83.459
592,78.086
593,77.025
594,76.780
595,75.859
596,84.346
597,78.333
598,76.845
599,76.579
600,78.697
601,95.984
602,84.864
603,79.557
604,77.737
605,77.532
606,92.914
607,83.878
608,79.410
609,77.772
610,76.898
611,92.875
612,83.067
613,79.536
614,78.276
615,77.384
616,88.786
617,81.205
618,78.612
619,78.578
620,78.234
621,88.806
622,82.087
623,79.110
624,78.055
625,77.986
626,89.113
627,81.943
628,79.235
629,78.244
630,79.036
631,96.000
632,83.734
633,78.650
634,77.044
635,77.890
636,92.549
637,82.567
638,79.889
639,77.139
640,76.595
641,92.916
642,83.803
643,79.260
644,77.454
645,76.378
646,88.295
647,80.432
648,77.938
649,77.786
650,76.505
651,88.092
652,79.874
653,77.565
654,76.978
655,75.952
656,88.815
657,79.997
658,77.324
659,76.794
660,78.766
661,100.661
662,90.129
663,81.632
664,78.267
665,77.668
666,97.898
667,88.448
668,80.955
669,78.116
670,77.030
671,97.888
672,87.149
673,80.860
674,78.582
675,77.434
676,94.344
677,84.230
678,79.210
679,78.807
680,78.311
681,94.198
682,85.160
683,80.060
684,78.237
685,78.004
686,94.605
687,84.494
688,79.955
689,78.463
690,79.069
691,101.041
692,88.895
693,80.509
694,77.539
695,78.151
696,97.934
697,86.873
698,81.455
699,77.397
700,76.671
701,98.284
702,88.578
703,80.614
704,77.717
705,76.391
706,94.233
707,83.555
708,78.826
709,77.965
710,76.511
711,93.857
712,82.699
713,78.380
714,77.196
715,75.979
716,94.594
717,82.570
718,78.016
719,77.018
720,78.730
721,104.233
722,95.716
723,84.967
724,79.266
725,77.985
726,101.573
727,93.781
728,83.568
729,78.779
730,77.349
731,101.664
732,92.542
733,83.207
734,79.187
735,77.604
736,98.793
737,88.702
738,80.357
739,79.273
740,78.508
741,98.544
742,89.601
743,81.720
744,78.659
745,78.125
746,99.482
747,88.408
748,81.272
749,78.942
750,79.211
751,104.978
752,94.930
753,83.559
754,78.478
755,78.731
756,101.889
757,92.568
758,84.160
759,77.941
760,76.932
761,102.200
762,94.614
763,83.010
764,78.285
765,76.563
766,99.090
767,88.223
768,80.388
769,78.383
770,76.685
771,98.736
772,87.107
773,79.846
774,77.684
775,76.166
776,99.753
777,86.619
778,79.267
779,77.570
780,78.870
781,107.031
782,99.997
783,89.096
784,80.769
785,78.434
786,104.459
787,98.180
788,87.074
789,79.768
790,77.765
791,104.552
792,97.271
793,86.497
794,80.067
795,77.813
796,101.850
797,93.328
798,82.062
799,79.958
800,78.771
801,101.609
802,94.157
803,84.064
804,79.335
805,78.296
806,102.809
807,92.807
808,83.191
809,79.666
810,79.388
811,108.085
812,99.968
813,87.686
814,80.017
815,79.609
816,104.950
817,97.679
818,87.886
819,78.811
820,77.268
821,105.247
822,99.673
823,86.442
824,79.188
